,Date,Crude_OK_WTI_Spot_Price_FOB_Per_Barrel,Crude_EuropeBrent_Spot_Price_FOB_Per_Barrel,ConvenGasoline_NY_Harbor_Reg_Spot_Price_FOB,ConvenGasoline_US_GulfCoast_Reg_Spot_Price_FOB,RBOBGasoline_LA_Reformulated_Reg_Spot_Price,HeatingOil_NY_Harbor2_Spot_Price_FOB,DieselFuelUltraLowSulfer2_NY_Harbor_Spot_Price,DieselFuelUltraLowSulfer2_US_GulfCoast_Spot_Price,DieselFuelUltraLowSulfer_CARB_LA_Spot_Price,KeroseneJetFuel_US_GulfCoast_Spot_Price_FOB,Propane_TX_MontBelvieu_Spot_Price_FOB
0,1/15/1986,0.545952381,,,,,,,,,,
1,2/15/1986,0.368095238,,,,,,,,,,
2,3/15/1986,0.300238095,,,,,,,,,,
3,4/15/1986,0.305714286,,,,,,,,,,
4,5/15/1986,0.366190476,,,,,,,,,,
5,6/15/1986,0.319761905,,0.42,0.409,,0.38,,,,,
6,7/15/1986,0.275952381,,0.34,0.334,,0.334,,,,,
7,8/15/1986,0.35952381,,0.426,0.416,,0.408,,,,,
8,9/15/1986,0.354047619,,0.42,0.398,,0.402,,,,,
9,10/15/1986,0.354761905,,0.41,0.4,,0.394,,,,,
10,11/15/1986,0.362380952,,0.411,0.409,,0.422,,,,,
11,12/15/1986,0.383571429,,0.434,0.414,,0.447,,,,,
12,1/15/1987,0.444047619,,0.489,0.492,,0.521,,,,,
13,2/15/1987,0.422619048,,0.474,0.481,,0.474,,,,,
14,3/15/1987,0.435714286,,0.509,0.506,,0.491,,,,,
15,4/15/1987,0.444761905,,0.504,0.505,,0.485,,,,,
16,5/15/1987,0.462857143,0.442380952,0.542,0.528,,0.518,,,,,
17,6/15/1987,0.477857143,0.449047619,0.557,0.535,,0.523,,,,,
18,7/15/1987,0.508095238,0.472857143,0.556,0.552,,0.547,,,,,
19,8/15/1987,0.483571429,0.451904762,0.523,0.53,,0.524,,,,,
20,9/15/1987,0.465,0.435952381,0.518,0.496,,0.523,,,,,
21,10/15/1987,0.472857143,0.446666667,0.541,0.51,,0.563,,,,,
22,11/15/1987,0.448809524,0.423333333,0.516,0.497,,0.559,,,,,
23,12/15/1987,0.411428571,0.405952381,0.454,0.432,,0.536,,,,,
24,1/15/1988,0.407857143,0.398809524,0.449,0.433,,0.518,,,,,
25,2/15/1988,0.4,0.37452381,0.461,0.452,,0.481,,,,,
26,3/15/1988,0.385714286,0.350714286,0.452,0.456,,0.475,,,,,
27,4/15/1988,0.425238095,0.395238095,0.507,0.511,,0.515,,,,,
28,5/15/1988,0.414761905,0.388333333,0.522,0.51,,0.509,,,,,
29,6/15/1988,0.393571429,0.37,0.518,0.498,,0.448,,,,,
